QuestionId	Answer	AnswerId	Score1	Score2
1	The first ten amendments to the U.S. Constitution are often referred to as the 'Bill of Rights'.	2e9fef13-13c6-4e1e-9a26-a4ce6d79daa9	5	4
1	The first 10 changes made to the U.S. Constitution are called the Bill of Rights.	1dae4425-45c3-4649-90ff-26de747e2939	5	5
1	The first ten amendments to the U.S Constitution are referred to as the Bill of Rights, 4/5	037115f7-c3c6-4665-a8d4-f825dd3fb210	-1	3
1	The Bill of Rights is a set of 10 additional Constitutional Amendments, 5/5	e4efdc2b-2378-41fd-834c-f0a5866f8ff9	-1	5
1	The first ten amendments to the US Constitution are known as the Bill of Rights.	b922a6c3-9760-4383-b07e-ac54861487f4	3	5
1	The first ten amendments to the U.S Constitution are referred to as the Amendments.	f7c7f044-ff8b-4bfc-9611-a6056ee0caa4	2	2
1	The Bill of Rights	ff83e148-bb77-472a-95b1-3725c743146f	5	5
1	The Ten Articles	5daca857-8050-4490-b466-407c75e2cfbc	2	2
1	The first ten amendments to the U.S. Constitution are known as the Bill of Rights.	82b77f9f-bcb4-4f08-944c-b74d6a51f6b2	5	5
1	The first ten amendments to the U.S. Constitution are referred to as the Bill of Rights.	24277051-34f9-4db3-92c6-97605a538b5b	5	5
1	The first 10 Amendments to the US Constitution are known as the Bill of Rights.	e97e4843-9b78-4d27-ab2e-895a2bee39ab	5	5
1	The first ten amendments to the Constitution are referred to as the Bill of Rights.	831710cc-e8b9-4f12-b2e5-58aa3fe6fa5c	5	5
1	The ten amendments to the Constitution are referred to as the ten commandments.	912d8c5b-1de3-4308-a1a8-545d2c28b06d	2	2
1	The first ten amendments to the U.S. Constitution are commonly known as the Bill of Rights.	e41e4d84-9baa-473d-9c67-5f8ab21610e3	3	5
2	The right to freely practice any religion of your choice	b8888e6d-3f69-4636-8ac7-3703ae3519af	5	4
2	The right to freedom of speech, press and assembly	360f37fe-2381-46bd-8e5a-ff3db26f42f5	5	5
2	The right to bear arms	f9286d1a-aed0-4a0a-bcfd-bb706d9d9aae	3	2
2	The right to freedom of speech, assembly, and religion	7cdbef1c-0b85-4209-9381-d042a42c67b6	5	3
2	The right to freedom of speech	88f7c29a-9abd-412e-a6e6-ac19503b8fe3	3	4
2	The right to freedom of expression	9551ae98-1001-4dc3-a111-48038b7be6c7	5	4
2	The right to freedom of speech	872f8091-0928-4331-ac57-c93bfd9f310c	5	4
2	The right to bear arms	ee41b97b-a766-4384-ba03-8c444da2efba	5	2
2	The right to freedom of speech	07da8e3d-f68a-4665-85b8-e03761bfb2fb	5	4
2	The right to express your opinion	d07f5588-e906-4e50-80be-45354b75c061	-1	3
2	The right to free speech	6f38cff5-fe83-4776-a956-b68cd1a28f46	5	4
2	The freedom to practice any religion	258f8a2b-e606-4ccf-b414-29d132956f1f	4	5
2	The right to watch television freely	5d905759-6c30-43eb-b499-062dcbdc6b84	1	1
2	The freedom to speak without consequence	c1df53c3-948e-4776-b3cf-3f3812d0e2b4	2	3
3	The Declaration of Independence declared the United States as an independent nation from Britain, and established the fundamental rights of the American people.	f2b92a63-63f1-44c9-9a9f-a5e589ed930c	5	5
3	The Declaration of Independence was a document that proclaimed America's freedom from British rule and declared the United States to be its own sovereign nation.	cffc3ff0-c267-4b08-b054-2efc9d9a75ed	5	5
3	The Declaration of Independence declared the United States an independent nation from Great Britain, giving them the right to make their own laws and govern themselves	8c06cd4e-0aca-49fd-aebc-b43e3f6a89ae	4	5
3	The Declaration of Independence freed the United States from British rule, but gave them the right to create their own government	5988aca8-0d1d-4c53-aeb6-6e226bba7c5f	3	4
3	The Declaration of Independence declared independence from Britain	b514bdde-6d32-4473-96d3-330c24acc765	5	3
3	The Declaration of Independence created the United States	42352aee-0fe2-4508-99bb-6bf2382fdfcb	3	2
3	It declared the United States to be an independent nation from Britain, and outlined the basic rights of citizens	2723e3f2-718e-47c8-a809-66c3f25130b1	5	4
3	It created a system of government with absolute monarchy and granted unlimited rights to the British monarch	ea3444f7-4369-4bca-97dd-79b2b33ec65e	1	1
3	The Declaration of Independence declared the United States as an independent nation from Britain.	9da3f6d8-3ca7-4ab5-97ee-f560d7e6ceb3	5	5
3	The Declaration of Independence was a document outlining the grievances of the American colonists against Britain and declared their right to form an independent government.	9bd10a44-396a-49b1-b3b5-985118cfbdd4	5	5
3	The Declaration of Independence declared the United States of America as an independent nation from Great Britain and established its governing system.	e2b0c386-38b0-4fca-84bb-02a5eeb98189	5	5
3	The document outlined the principles on which the new nation was founded and became part of the United States Constitution.	e7561498-4ca4-41ce-9899-e96fb280157a	4	3
3	The Declaration of Independence established the United States of America as a separate nation from Britain	58473f69-3585-48c1-97da-f66e400da6d2	2	4
3	The Declaration of Independence protected people's right to religious freedom	ba24c33b-30a9-4761-9dd1-634ea6ed3aa7	1	4
4	The economic system in the United States is a capitalist market economy, characterized by private ownership of production and use of market forces to allocate resources.	b18dcb67-2bcd-489b-b86e-96b532406f24	5	5
4	In the US, the economic system is characterized by a predominantly free market with minimal government intervention.	9411f291-f4f2-4f87-ac38-8a7f42869453	4	5
4	The United States has a capitalist economic system where individuals and businesses own the majority of resources and goods, 2	03d12157-9640-406f-b239-0310a7cab17f	4	2
4	The United States has a socialist economy, where all the main productive assets are owned and managed by the central government 3	36e302a9-79df-48bc-9725-cac562016f6d	1	1
4	The United States has a capitalist economic system, where private citizens and businesses own most of the resources including land, factories, technology and investments.	3b0371d6-cee6-47b2-9b31-2c259b59cada	4	4
4	The United States is a free market economy, with individuals and businesses having the freedom to make decisions about production and consumption.	bec2c2bd-e21f-416c-bd79-088db3711f8f	3	4
