QuestionId	Answer	AnswerId	Score1	Score2
1	The first ten amendments to the U.S. Constitution are known as the Bill of Rights.	5d9ab81e-1590-4fb0-a22e-be4b9916affb	4	4
1	The 1st - 10th Amendments of the U.S. Constitution are called The Bill of Rights.	37195428-d22d-4d1c-a4a4-33528c8a9236	4	4
1	The first ten amendments to the US Constitution are called The Bill of Rights	2a2b665e-dd0c-41f3-a1ec-72d3a1948464	3	4
1	The initial ten amendments to the Constitution of the United States of America are known as The Declaration of Independence	4874957a-e74a-4a22-bb81-6b2df49c59f8	0	0
1	The first ten amendments to the US Constitution are referred to as the Bill of Rights	01b22024-c102-48ab-87eb-2736db5bfdca	4	4
1	The first 10 changes to the Constitution are known as the Bill of Liberties	5f88b7a4-b250-4b11-a599-7183fbb85ab5	3	0
1	The Bill of Rights	716cfd80-3d22-4e00-9957-136c67e7182d	4	4
1	The Ten Amendments	ab427d02-77e5-423c-84ce-ec29164c224c	4	2
1	The Bill of Rights	9863542b-eb9b-4670-a007-0ef17fc0daf5	4	4
1	The first ten amendments to the constitution	dba4b636-8cb8-4500-a298-e3555665edb2	4	2
1	The Bill of Rights	11df8cb3-32ed-422d-8dd0-452c84042c9c	4	4
1	The Amendments to the Constitution of the UnitedStates of America	65e0daf1-5363-40e0-8345-cd9022ce6b79	0	0
1	The first ten amendments of the United States Constitution are known as the Bill of Rights.	afeb36f2-f5ca-4242-92e9-508f43eddde2	0	4
1	The first ten amendments of the Constitution guarantee us our civil liberties and rights.	083f466f-8733-45fb-989e-a0ac4ae21bd6	0	3
2	The right of freedom of speech	464d3a66-b3b4-42ab-9c20-a9e7128351b3	4	4
2	The right to practice any religion or have no religion at all	0422eb5d-4f12-49be-9163-f150548a3d12	4	4
2	The right to bear arms	145968ef-64d2-4837-8a26-6489d6bd7301	4	4
2	The freedom of speech	28b9842c-7e40-4552-af83-85515b7d793b	3	4
2	The freedom of speech	8864bc6d-3bf0-4693-ab66-08e5480013f0	4	4
2	The right to bear arms	25bece7d-fa07-4c6b-895a-97a0255b6116	2	4
2	The right to practice any religion	9f918a12-b045-4ee2-8169-de5f96e2c73d	4	4
2	The freedom of speech	91de8bc2-829c-45cb-b672-734df9e8407b	4	4
2	The right to freedom of speech	84666ed3-7141-4da9-85d0-2f93d1aa417b	4	4
2	The right to practice any religion, or no religion at all	f8ab2959-96df-46ed-b538-750c24f95dfe	4	4
2	The right to free speech	94f16ff6-0d64-40a1-924e-aff02d2f481f	4	4
2	The right of the people peaceably to assemble	3d59025d-78cc-4d7c-bfc7-53dffeb8f5f5	4	4
2	The right to bear arms	9e6adba8-f05c-4782-bc69-6957f0630025	0	4
2	The right to own property	07253511-9d90-4cc5-8b9f-d7b75ce6de81	0	4
3	The Declaration of Independence declared the United States as a separate, independent nation from Britain.	7f7060b0-e023-4a8d-b344-d7ed7a6f8b07	4	4
3	The Declaration of Independence set out the principles of freedom and equality for all Americans.	03e8d530-303e-4ea3-9622-c8acad2c9aeb	4	4
3	The Declaration of Independence gave the United States its independence from Great Britain	b51563f3-639b-47e2-a99c-2aa39a7e2a1c	3	4
3	The Declaration of Independence declared the United States to be a sovereign nation	dbb47696-66ac-4e3b-9830-8650d9d7d403	4	4
3	Declaration of Independence declared independence from Great Britain	0d13b6ec-24a7-4737-8825-3a0fa7a5eedd	3	3
3	The Declaration of Independence gave the people of the United States their freedom	63187dcc-4a23-4908-92d5-12f4b7213d72	4	3
3	The Declaration of Independence declared the United States as its own independent country from Great Britain.	f8be2bb9-f2d5-4d5f-9006-09ca2b9a22c7	4	4
3	The Declaration of Independence was a document that officially declared the independence of the United States from Great Britain.	e083cfd5-24a5-4e9d-ba25-c3656f06eca6	4	4
3	It declared the United States of America's independence from Great Britain	d264a1ef-6cdb-4228-9ac2-2ba50f9530ff	4	4
3	It made the American colonies an independent nation	070b5daa-23ac-46b0-968c-e68339e09773	4	2
3	The Declaration of Independence declared the United States as an independent nation from Great Britain.	4e8fd63c-63a8-4113-ab12-5fd1e5fa7910	2	4
3	The Declaration of Independence authorized a new government for the colonies.	4d5a2251-5032-4180-b340-39b2e0ff0b43	2	2
4	The United States has a capitalist economic system, in which people and businesses own the means of production and invest in capital goods to produce goods and services for profit.	a1dcff1a-9e02-4307-be9a-b837c62a2ab9	3	4
4	The United States is a market-based economy utilizing private ownership, voluntary exchange, supply and demand, and competitive markets to determine prices and production of goods and services.	723ece71-6cee-43a1-b69a-26641575914c	4	4
4	The economic system in the United States is a capitalist system where private individuals and businesses own and operate the means of production, 0	8df32e8b-a04d-490d-8ee1-83a84180ad3c	2	1
4	The United States has a mixed economy combining elements of free markets with state intervention, 4	1f29f1d3-7bc7-40d6-b9c8-57884a8d5707	3	0
4	The United States has a free market economy, where the government does not interfere in the production and distribution of goods.	0966f558-b8a9-4c1b-97c0-2d80f62bc049	-1	4
4	The United States is based on a capitalist economic system that allows individuals and corporations to own and control property and businesses.	f9e78be6-d878-4525-be1a-c4e31ea95fec	-1	4
4	The United States has a capitalist economic system, where private individuals and businesses are allowed to own property and make profits through free market activities.	6269b91a-8171-482a-b679-b7cbca4627e3	4	4
4	The United States has a mixed economic system, where both public and private sectors have an important role in regulating the economy.	06be7665-c3a5-4004-a617-3abae55c467d	4	3
4	The economic system in the United States is a capitalist system based on private ownership and market operations.	9b911577-6f42-40f8-9907-e13da52800cd	4	4
4	The US has a free market economy where goods and services are exchanged based on supply and demand.	2c890ae6-1d32-4ad5-ab44-ed45c14fe73f	4	4
4	The United States has a capitalist economic system, where individuals and businesses own the majority of resources and production.	b030f1cc-f97f-4239-96f9-f0e9e7c3c9f9	4	4
4	The United States follows a market economy, where people are responsible for the production and distribution of goods and services.	28e45773-4a2a-4b91-a1ed-1ba1289a79c6	4	4
4	The economic system of the United States is a single-payer system.	8cbb9b55-e5c1-4286-9872-b0c8bed0510f	0	0
4	The economic system of the United States is based on communism.	fad2f901-73b5-4d49-9124-3ed5a3f9986b	0	0
5	The three branches of the United States Government are the Legislative, Executive, and Judicial.	005b8362-5cab-480f-94a4-07e1712acfe7	4	4
5	Legislative, Executive and Judicial branches make up the US Government.	83cee699-4c75-4a6f-9223-a8aff36a408a	4	4
5	The three branches of the United States government are the Executive, Legislative and Judicial branch.	c174247b-67b1-4bf6-8592-64458c475b9d	4	4
5	The three branches of the US government are the President, Senate and House of Representatives.	23a489dc-f468-4a24-86fe-7111cb17eb26	3	0
5	The executive branch	1ea7d79a-7bce-4be9-b8f1-6f5cb0fd82c8	3	2
5	The legislative branch is responsible for making laws	f4e3b93c-7370-49b1-84b0-d438a5f2d2fe	2	2
5	The Legislative Branch	e2b6ae91-dfbb-4ad7-9a5f-c0c1b7eeb2a4	4	2
5	The Judicial Branch	3f26afbb-43ae-49bb-9035-1bdbbdd7f596	4	3
5	The Legislative branch is responsible for making laws.	3621cbdc-1b66-45b3-8ae2-aacf7b34d2b5	4	3
5	The Executive branch enforces the laws that are made.	e3c79572-fc8c-4b63-bba3-21d072f1a77e	4	3
5	The executive branch	c8484e15-f1e2-40a4-b195-7c1792affc23	4	2
5	The legislative branch	83098faf-e251-456f-b7f0-888a606b8dcf	4	2
5	The executive branch, judicial system and the supreme court.	7278d992-7ecf-4a29-9f89-b27a6dd8ecbd	0	0
5	The legislative branch, administrative branch and the supreme court.	939881dc-3d91-4e99-8edd-5e28cd2ab86e	0	0
6	Congress is the branch of the federal government responsible for creating national laws	2f9b1054-80bb-42e8-852b-de2f3dbb1064	4	4
6	Lawmaking is done by Congress in the United States	ccc57a4d-9875-4ebf-bd40-e99e7154607c	3	4
6	The Congress and the President make federal laws.	259223f4-5240-4fc1-a3f2-885d6d4271a8	3	4
6	The Supreme Court makes federal laws.	84e6300f-7065-48fe-8e5b-267ed883561c	0	0
6	Congress makes federal laws in the US	3f7b3769-c154-45a0-a417-67ba46e841fe	4	4
6	The President is responsible for making federal laws	216cf9a3-6e3a-4c3e-96d4-1fd872f7727c	3	0
6	The President of the United States makes federal laws	0d532273-b826-46fe-a77e-3167bdc10970	3	4
6	The US Congress makes federal laws	855a00ea-28d6-4091-820d-d388932b21ed	4	4
6	The United States Congress makes federal laws.	0da39609-9bdb-4155-9660-a5b1f04a6c19	4	4
6	Laws in the US are created by the government.	e44d026a-85dd-441c-abb7-7f8c276e7e45	3	2
6	The US Congress makes federal (national) laws in the US.	3a8d9e58-86e7-4fa1-8f36-0bb567d5f1b6	4	4
6	Legislative branch of government makes national laws in the US.	03c2d4f3-3aa9-4730-9e6e-87f73cd34e32	4	3
6	The President of the United States makes federal laws.	5d1bc40c-6d12-417d-af23-815fef0e072e	2	4
6	The states decide what regulations make up the federal laws.	11971efd-4e07-4ee1-ad0f-c40518eb88e7	2	0
7	The number of Representatives for each state is based on the state's population. States with higher populations have more Representatives to better represent their citizens.	2f45b593-12c1-4b19-9173-eab7cc42ece1	-1	4
7	States with larger populations are allocated more seats in the House of Representatives to ensure they are proportionally represented in Congress.	897e01c8-7a71-4f0e-b4e1-f977f346c8da	-1	4
7	Smaller states have more Representatives so they have a bigger say in how the government is run.	c6fc1b25-bc5e-4043-ac0e-4702f6c8a7f6	3	0
7	Large states are given more Representatives so their population can be accurately and fairly represented.	9f06e819-3af7-4b25-8c48-43f28491e911	-1	3
7	Because some states have higher population meaning that they need more representatives to represent all their citizens	d1a3f07e-fde7-40d3-9f6e-8bf55e4e9449	2	3
7	States with more representatives can influence decisions in the House of Representatives more than other states	324981c5-f8d7-41e4-9dda-31b615b25007	3	3
7	States with more population generally receive more representatives so they have more voting power in Congress.	56724241-da2b-4d58-b682-8a0e76d37946	3	4
7	Smaller states are given more representatives to make sure their voices are heard and that they are not overpowered by larger states.	5db58cce-23e0-4463-af84-6adc157445b2	4	3
7	Some states have more population, and the number of Representatives is related to the population size, so states with more people also have more Representatives.	bbd09201-f88f-4bd4-b194-2618141d266a	4	4
7	The Constitution sets a minimum of one Representative per state, regardless of size or population, so some states may end up having more Representatives based on their total population.	5fa442d8-1228-45bd-8988-c1866535761c	4	4
7	Because states with larger populations need more representatives to adequately represent all its citizens.	e2471d56-da99-4513-a06d-5e8ca299ea17	4	3
7	Due to the way congressional representation is determined by the US Constitution, states with larger populations receive more representatives than states with smaller populations.	83b9aa86-fd02-4238-875f-30fe16d830fc	4	4
7	States with more Representatives have larger populations so they need more people to represent them in Congress,	7451b7b3-a417-44a3-9c85-7145e7052484	0	3
7	Some states have more Representatives because they are wealthier than other states and their needs can be better represented,	3a101c66-4aeb-4ddc-a7c9-11f1ece65fbc	0	0
8	The President Pro Tempore of the Senate becomes President.	f25341c2-1f8b-4f13-9dba-9b92cb30f539	4	4
8	The Speaker of the House is next in line to become President if both the President and Vice-President can no longer serve.	81590b23-9976-4666-bba5-6632c0b76d1e	4	4
8	The Speaker of the House becomes President	69277737-d6a5-44b5-aafe-5f01962083ab	3	3
