Model	Essay Set	GPT Score	Expert Score	Category	Precision	Recall	F1	Accuracy
davinci	5	1	1	0	0.9507575757575758	0.7217828900071891	0.8205966489579077	N/A
davinci	5	1	1	1	0.3062730627306273	0.2530487804878049	0.2771285475792989	N/A
davinci	5	1	1	2	0.03558718861209965	0.23809523809523808	0.061919504643962855	N/A
davinci	5	1	1	3	0.11229946524064172	0.6176470588235294	0.19004524886877827	N/A
davinci	5	1	1	All	0.7956959310274785	0.6228412256267409	0.6915934595894399	0.6228412256267409
davinci	5	1	2	0	0.9498106060606061	0.7210639827462257	0.8197793216183082	N/A
davinci	5	1	2	1	0.2878228782287823	0.24299065420560748	0.2635135135135135	N/A
davinci	5	1	2	2	0.05693950177935943	0.3333333333333333	0.0972644376899696	N/A
davinci	5	1	2	3	0.12299465240641712	0.6571428571428571	0.2072072072072072	N/A
davinci	5	1	2	All	0.7914293068865603	0.6239554317548747	0.6890372253316297	0.6239554317548747
davinci	5	2	1	0	0.9459715639810427	0.7174694464414091	0.8160261651676206	N/A
davinci	5	2	1	1	0.30357142857142855	0.25914634146341464	0.2796052631578948	N/A
davinci	5	2	1	2	0.050724637681159424	0.3333333333333333	0.0880503144654088	N/A
davinci	5	2	1	3	0.09782608695652174	0.5294117647058824	0.1651376146788991	N/A
davinci	5	2	1	All	0.79157347955888	0.6211699164345403	0.6886438519056153	0.6211699164345403
davinci	5	2	2	0	0.9469194312796209	0.7181883537023724	0.8168438266557646	N/A
davinci	5	2	2	1	0.28214285714285714	0.24610591900311526	0.2628951747088186	N/A
davinci	5	2	2	2	0.06521739130434782	0.375	0.11111111111111109	N/A
davinci	5	2	2	3	0.10326086956521739	0.5428571428571428	0.1735159817351598	N/A
davinci	5	2	2	All	0.7880096664457944	0.6211699164345403	0.6863651847653277	0.6211699164345403
davinci	6	1	1	0	0.9814090019569471	0.662046204620462	0.7906976744186045	N/A
davinci	6	1	1	1	0.10033444816053512	0.1875	0.13071895424836602	N/A
davinci	6	1	1	2	0.10256410256410256	0.28169014084507044	0.15037593984962405	N/A
davinci	6	1	1	3	0.1494661921708185	0.8235294117647058	0.25301204819277107	N/A
davinci	6	1	1	All	0.8446260304692396	0.6093489148580968	0.6913758016756143	0.6093489148580968
davinci	6	1	2	0	0.9814090019569471	0.6624834874504624	0.7910094637223974	N/A
davinci	6	1	2	1	0.11036789297658862	0.20496894409937888	0.14347826086956522	N/A
davinci	6	1	2	2	0.09743589743589744	0.2676056338028169	0.14285714285714285	N/A
davinci	6	1	2	3	0.1494661921708185	0.8235294117647058	0.25301204819277107	N/A
davinci	6	1	2	All	0.8448320446581575	0.6104618809126322	0.692117306442069	0.6104618809126322
davinci	6	2	1	0	0.9824561403508771	0.6653465346534654	0.793388429752066	N/A
davinci	6	2	1	1	0.11333333333333333	0.2125	0.14782608695652175	N/A
davinci	6	2	1	2	0.1111111111111111	0.30985915492957744	0.16356877323420074	N/A
davinci	6	2	1	3	0.1575091575091575	0.8431372549019608	0.2654320987654321	N/A
davinci	6	2	1	All	0.8472321880282517	0.6160267111853088	0.6960412158731712	0.6160267111853088
davinci	6	2	2	0	0.9824561403508771	0.665785997357992	0.7937007874015747	N/A
davinci	6	2	2	1	0.12333333333333334	0.22981366459627328	0.16052060737527116	N/A
davinci	6	2	2	2	0.10606060606060606	0.29577464788732394	0.15613382899628253	N/A
davinci	6	2	2	3	0.15384615384615385	0.8235294117647058	0.25925925925925924	N/A
davinci	6	2	2	All	0.8473409682995834	0.6165831942125766	0.6966135414548476	0.6165831942125766
davinci	6	1	1	0	0.965832531280077	0.6906400550584997	0.8053772070626003	N/A
davinci	6	1	1	1	0.19824561403508772	0.23155737704918034	0.21361058601134217	N/A
davinci	6	1	1	2	0.06302521008403361	0.26548672566371684	0.10186757215619695	N/A
davinci	6	1	1	3	0.1346153846153846	0.7411764705882353	0.2278481012658228	N/A
davinci	6	1	1	All	0.8134792182574694	0.6160913140311804	0.68918325555643	0.6160913140311804
davinci	6	1	2	0	0.9653512993262753	0.6905335628227195	0.8051374673891231	N/A
davinci	6	1	2	1	0.19473684210526315	0.23029045643153526	0.21102661596958175	N/A
davinci	6	1	2	2	0.07352941176470588	0.29411764705882354	0.11764705882352941	N/A
davinci	6	1	2	3	0.1388888888888889	0.7558139534883721	0.23465703971119134	N/A
davinci	6	1	2	All	0.8126122290874195	0.6172048997772829	0.6889809791419552	0.6172048997772829
davinci	6	2	1	0	0.9639596347909659	0.6902959394356504	0.8044916783637458	N/A
davinci	6	2	1	1	0.20517241379310344	0.24385245901639344	0.22284644194756553	N/A
davinci	6	2	1	2	0.0759493670886076	0.3185840707964602	0.12265758091993186	N/A
davinci	6	2	1	3	0.13347921225382933	0.7176470588235294	0.22509225092250926	N/A
davinci	6	2	1	All	0.8132847572817843	0.6185968819599109	0.6903104200912646	0.6185968819599109
davinci	6	2	2	0	0.964440172993753	0.6908777969018933	0.8050541516245487	N/A
davinci	6	2	2	1	0.2	0.24066390041493776	0.2184557438794727	N/A
davinci	6	2	2	2	0.08227848101265822	0.3277310924369748	0.1315345699831366	N/A
davinci	6	2	2	3	0.13347921225382933	0.7093023255813954	0.22467771639042358	N/A
davinci	6	2	2	All	0.8127419415482149	0.6188752783964365	0.690131647120487	0.6188752783964365
turbo	5	1	1	0	0.9745989304812834	0.5240833932422717	0.6816269284712483	N/A
turbo	5	1	1	1	0.1859582542694497	0.29878048780487804	0.22923976608187133	N/A
turbo	5	1	1	2	0.047244094488188976	0.42857142857142855	0.08510638297872342	N/A
turbo	5	1	1	3	0.11510791366906475	0.47058823529411764	0.18497109826589594	N/A
turbo	5	1	1	All	0.7925121675393297	0.4796657381615599	0.5755973182197811	0.4796657381615599
turbo	5	1	2	0	0.9759358288770054	0.5248023005032351	0.6825619448340345	N/A
turbo	5	1	2	1	0.1859582542694497	0.3052959501557632	0.2311320754716981	N/A
turbo	5	1	2	2	0.05249343832020997	0.4166666666666667	0.09324009324009325	N/A
turbo	5	1	2	3	0.12949640287769784	0.5142857142857142	0.20689655172413796	N/A
turbo	5	1	2	All	0.7934659591802213	0.48245125348189416	0.5767988664492626	0.48245125348189416
turbo	5	2	1	0	0.9771812080536912	0.5233644859813084	0.6816479400749064	N/A
turbo	5	2	1	1	0.1908256880733945	0.3170731707317073	0.23825887743413515	N/A
turbo	5	2	1	2	0.04904632152588556	0.42857142857142855	0.08801955990220049	N/A
turbo	5	2	1	3	0.12318840579710146	0.5	0.19767441860465118	N/A
turbo	5	2	1	All	0.7955979038395246	0.4830083565459609	0.5775704446746751	0.483008356545961
turbo	5	2	2	0	0.9771812080536912	0.5233644859813084	0.6816479400749064	N/A
turbo	5	2	2	1	0.1871559633027523	0.3177570093457944	0.2355658198614319	N/A
turbo	5	2	2	2	0.05994550408719346	0.4583333333333333	0.10602409638554217	N/A
turbo	5	2	2	3	0.13768115942028986	0.5428571428571428	0.21965317919075142	N/A
turbo	5	2	2	All	0.7950040943725701	0.4852367688022283	0.5774740561102489	0.48523676880222844
turbo	6	1	1	0	1.0	0.4303630363036304	0.6017535763728658	N/A
turbo	6	1	1	1	0.03896103896103896	0.13125	0.060085836909871244	N/A
turbo	6	1	1	2	0.0736196319018405	0.3380281690140845	0.12090680100755669	N/A
turbo	6	1	1	3	0.15714285714285714	0.8627450980392157	0.2658610271903324	N/A
turbo	6	1	1	All	0.8539093187607584	0.41235392320534225	0.5249937102775262	0.41235392320534225
turbo	6	1	2	0	1.0	0.43064729194187584	0.6020313942751616	N/A
turbo	6	1	2	1	0.04823747680890538	0.16149068322981366	0.07428571428571429	N/A
turbo	6	1	2	2	0.06134969325153374	0.28169014084507044	0.10075566750629723	N/A
turbo	6	1	2	3	0.15714285714285714	0.8627450980392157	0.2658610271903324	N/A
turbo	6	1	2	All	0.8537208390102272	0.4129104062326099	0.5254023904909565	0.4129104062326099
turbo	6	2	1	0	1.0	0.4297029702970297	0.6011080332409973	N/A
turbo	6	2	1	1	0.04251386321626617	0.14375	0.06562054208273894	N/A
turbo	6	2	1	2	0.06918238993710692	0.30985915492957744	0.11311053984575835	N/A
turbo	6	2	1	3	0.15331010452961671	0.8627450980392157	0.2603550295857988	N/A
turbo	6	2	1	All	0.8539415598949068	0.41179744017807457	0.5244779699116715	0.41179744017807457
turbo	6	2	2	0	1.0	0.4299867899603699	0.6013856812933025	N/A
turbo	6	2	2	1	0.053604436229205174	0.18012422360248448	0.08262108262108261	N/A
turbo	6	2	2	2	0.05660377358490566	0.2535211267605634	0.09254498714652958	N/A
turbo	6	2	2	3	0.156794425087108	0.8823529411764706	0.2662721893491124	N/A
turbo	6	2	2	All	0.8540042837155664	0.41346688925987757	0.5252924271142252	0.41346688925987757
turbo	6	1	1	0	0.9864285714285714	0.47522367515485203	0.6414305620065026	N/A
turbo	6	1	1	1	0.11163227016885553	0.24385245901639344	0.15315315315315314	N/A
turbo	6	1	1	2	0.0594059405940594	0.37168141592920356	0.1024390243902439	N/A
turbo	6	1	1	3	0.1431980906921241	0.7058823529411765	0.2380952380952381	N/A
turbo	6	1	1	All	0.8184639992788946	0.4459910913140312	0.548594002484362	0.4459910913140312
turbo	6	1	2	0	0.9871428571428571	0.4757314974182444	0.6420441347270615	N/A
turbo	6	1	2	1	0.11632270168855535	0.2572614107883817	0.16020671834625325	N/A
turbo	6	1	2	2	0.056577086280056574	0.33613445378151263	0.09685230024213075	N/A
turbo	6	1	2	3	0.14797136038186157	0.7209302325581395	0.24554455445544554	N/A
turbo	6	1	2	All	0.8193696415573639	0.44766146993318484	0.5498329913800082	0.44766146993318484
turbo	6	2	1	0	0.9878223495702005	0.4745354439091535	0.6410971641097164	N/A
turbo	6	2	1	1	0.11694290976058933	0.26024590163934425	0.16137229987293522	N/A
turbo	6	2	1	2	0.058394160583941604	0.35398230088495575	0.10025062656641605	N/A
turbo	6	2	1	3	0.14352941176470588	0.7176470588235294	0.23921568627450981	N/A
turbo	6	2	1	All	0.8202890946436958	0.44738307349665923	0.5493985788909149	0.44738307349665923
turbo	6	2	2	0	0.9878223495702005	0.4746987951807229	0.6412462218088817	N/A
turbo	6	2	2	1	0.12062615101289134	0.2717842323651452	0.16709183673469388	N/A
turbo	6	2	2	2	0.058394160583941604	0.33613445378151263	0.09950248756218905	N/A
turbo	6	2	2	3	0.15058823529411763	0.7441860465116279	0.2504892367906066	N/A
turbo	6	2	2	All	0.8206194943302977	0.44933184855233854	0.5503177644890914	0.44933184855233854
gpt4	5	1	1	0	0.9765208110992529	0.6578001437814522	0.7860824742268041	N/A
gpt4	5	1	1	1	0.2230769230769231	0.2652439024390244	0.2423398328690808	N/A
gpt4	5	1	1	2	0.024896265560165973	0.14285714285714285	0.04240282685512367	N/A
gpt4	5	1	1	3	0.14977973568281938	1.0	0.26053639846743293	N/A
