QuestionId	Answer	AnswerId	Score1	Score2
MS_43a	They use different sizes of marbles.	MS.43a.103.1		1.0
MS_43a	Some marbles are different sizes.	MS.43a.105.1		1.0
MS_43a	I think the marbles had a different weight.	MS.43a.115.1		2.0
MS_43a	The marbles might be different sizes.	MS.43a.119.1		2.0
MS_43a	Bee's groups maybe had bigger marbles then the other group.	MS.43a.136.1		2.0
MS_43a	I think the marbles were different sizes.	MS.43a.144.1		2.0
MS_43a	The first group had smaller marbles.	MS.43a.153.1		1.0
MS_43a	I think Bee's group had more mass in their marbles than Jin's group.	MS.43a.173.1		2.0
MS_43a	Maybe they had different size of marble.	MS.43a.180.1		2.0
MS_43a	I think that the marbles weighed different because they might of had one marble that was a different weight than and there.	MS.43a.183.1		2.0
MS_43a	They maybe used paperclips and paperclips are not the same size.	MS.43a.276.1		0.0
MS_43a	The marbles are different sizes.	MS.43a.280.1		1.0
MS_43a	One use small and big and marbles one use 60 and the other 60.	MS.43a.312.1		2.0
MS_43a	Maybe they had bigger marbles than the other team.	MS.43a.317.1		2.0
MS_43a	Because they use marbles and apple.	MS.43a.324.1		0.0
MS_43a	I think they have to put more marbles.	MS.43a.348.1		0.0
MS_43a	Maybe the balance was a little off.	MS.43a.352.1		0.0
MS_43a	One group did not zero out the balance one did.	MS.43a.381.1		0.0
MS_43a	Because there all sort of apples and they do all weigh different.	MS.43a.387.1		1.0
MS_43a	Bigger grams.	MS.43a.393.1		1.0
MS_43a	I think they did not zero it out on the balance beam.	MS.43a.417.1		0.0
MS_43a	I think they do not balance the beam.	MS.43a.433.1		0.0
MS_43a	Jin's group had big marbles and Bee's group had small marbles.	MS.43a.452.1		1.0
MS_43a	Maybe Jin's group did it by doing it up to down and Bee's group did it by going around.	MS.43a.488.1		0.0
MS_43a	Maybe because the marbles are different sizes.	MS.43a.504.1		2.0
MS_43a	The marbles are different.	MS.43a.521.1		1.0
MS_43a	They weighed it wrong.	MS.43a.532.1		0.0
