QuestionId	Answer	AnswerId	Score1	Score2
5	G1-Proteins head to where they have to go.Interphase-Proteins reach destination.G2-Proteins seek out problem.G3-Proteins work and fix the problem.	12512	0	0
5	GUANINE, THYMINE, ADICINE JADINE	11340	0	0
5	1.The mRNA gets packaged up by the Golgi Apparatus.2.The proteins travel through the Endoplasmic Reticulum.3.The nucleus sends information to tell the ribosomes how to make the protein and for what functions.4.Ribosomes make the protein and is put into use.	11855	0	0
5	mRNA leaves the nucliusgoes to the mitochondria	11308	0	0
5	TranscriptionReplicationTraslationTransfussion	11428	0	0
5	Four major steps involved in protein synthesis are recreation, bounding, healing, and protecting.	11247	0	0
5	Then it finds another single strand of mRNA with matching codons, after it finds the matching codons then the restrction enzyme cuts off the excess codons of the strands, once that is done both ends of the mRNA strands match each other.	11630	0	0
5	First, mRNA goes to the lysosomes.Second, it copies into tRNA.Third, the tRNA gets codons.Finally, the codons form proteins.	11418	0	0
5	One major step with mRNA leaving the nucleus involved in protein synthesis is when RNA carries intructions from nucleus to amino acid. Protien takes the mRNA and uses it on the body, for energy.	12243	0	0
5	it goes through the organisms and leads through the process	11139	0	0
5	IT GOES TO THE MICHOCHINDRIA AND STARTS ATTACHING CODONS TO MAKE APROTEIN	11874	0	0
5	The process of protien synthesis invovles four steps, including phase 1,meiosis, phase 2, and mitosis.  This causes many changes within the cell.	11677	0	0
5	Once mRNA leaves the nucleus then tRNA does it's job. After tRNA then the RNA is almost all the way done with producing protein. After two more steps the RNA is done with making the proteins and that is what protein synthesis is.	12124	0	0
5	mRNA, then it a messanger to the DNA then to defusion.	11947	0	0
5	The mRNA is instructed to tell the ribosome to make more proteins.The ribosome makes proteins.Proteins are delivered throughout the body. The are transported on the cell membrane.	11219	0	0
5	cytokyneises- the cells membraneribosomes-protiens that make up the nucleuslibosomes-takes up room in ther nucleuscell radiation- is the affect if a cell that is passed on after mRNA	11343	0	0
5	It separates then replicates after leaving the nucleus.	12106	0	0
5	ProphaseMetaphaseAnaphaseTelophasehaha i dont know =)	11951	0	0
5	DNA....I don't know what else. :(	12544	0	0
5	mRNA-transcription-RNA-anabodies-codons-translation-tRNA	12316	0	0
5	The RNA will break off and attach a new strand onto the tRNA	12554	0	0
5	Transcription occurs, then translation takes place. Then transfer RNA decodes, and sends the information to have rRNA take place.	11174	0	0
5	The mRNA tells some other RNA to make some protein.  So that RNA goes somewhere else.  Then at that place it makes some protein.  The protein leaves when it is made.	12523	0	0
5	Protein leaves the nuclues. It gets synthesized. It goes back to nucleus. The nucleus responds and uses it.	12558	0	0
5	anaphaseinterphasemetaphaseprophase	12005	0	0
5	The mRNA brings the codes to the organelles that produce protein. It drops off the codes and the Proteins are made. The tRNA leaves and goes to the nucleus to copy the codes again through transcription.	11251	0	0
5	Protein Synthesis:    1. codon changes    2. reaction happens    3. new messanger    4. tRNA	11581	0	0
5	We get more healthy, no deaths, more nutrients, no diseases	11246	0	0
5	It goes through the cytoplasm then into the cell membrane.  After that it goes through a process and then it goes out of the cell.	12422	0	0
5	mrna brings the plans to the structure	12445	0	0
5	mRNA travels throught the cell giving differant things directions or instructions on what their job is and how to do it.	12686	0	0
5	The mRNA goes to the mitochondrion and tells the transfer rna what to do. The tRNA then goes and gets what is needed and brings it to the cell. The rRNA finishes off the RNA sequence with the missing piece(s) that the tRNA brought.	12657	0	0
5	gathering, protein needs to breath, so it needs more room	11424	0	0
5	Four major steps involved in protein synthesis are mRNA leaving the nucleus,	11748	0	0
5	Four major steps in protein synthesis are:1. The unzipping of the proteins2. Copying of the proteins3.	12726	0	0
5	Th protein starts in your cells then entering your bloodstream.	12715	0	0
5	One the gain energy and the nthey use that energy to build up protein synthesis. It thens to made intop protein and then it goes into protein synthesis.	12239	0	0
5	cell seperates, the cells mutate	12245	0	0
5	anaphaseprophasetelephasemetaphase	12027	0	0
5	the mRNA  gets copyed into RNAThen it transferces they it gets group by the amion acids into codonsHow then take to make the things it is needed to do	11182	0	0
