QuestionId	Answer	AnswerId	Score1	Score2
5	The mRNA first gets on an electron transport chain.	10969	0	0
5	first the mRNA leaves the cell nucleus and moves to the ribosome where tRNA finds complementary bases	10976	1	1
5	Once mRNA leaves the nucleus, it travels to the other cells in which the protein is started to be made. By the end of the mRNAs journey, protein is formed.	10989	0	0
5	mRNA travels through the bodymRNA changes into proteinprotein then travels back through the bodythe protein is then transfered back to mRNA	11019	0	0
5	protiens leavetravel down to the mebraneonce they get to the mebrane they then bondand connect	11033	0	0
5	the mRNA is translated by tRNAtRNA is brought to the ribosomestRNA is used with rRNA inside ribosomesProtiens are formed by rRNA	11044	0	0
5	Cytokinesis- the cytoplasm divides.G1- the protein replicates.G2- the protein divides.Interphase- this is where the protein spends most of its time.	11061	0	0
5	InterphaseAnaphaseMetaphaseProphase	11062	0	0
5	The mRNA travels to through the cytoplasm to the midocondrion, and it copies itself to tRNA. The tRNA goes and copies itself to the rRNA and it sends the instructions to ribosomes and the midocondrion. These instructions make the protiens.	11070	0	0
5	In protein synthesis, the nucleus controls what happens in the cell.  Proteins are carried out by RNA and the site of protein synthesis is RER.	11072	0	0
5	well the organism is going to get sick but then get really healthy	11073	0	0
5	The mRNA travels to the the ribosome. When attached to the ribosome, it aquires an enzyme that lets tRNA to attach. The tRNA attches and releases an amino acid. When enough amino acids are together, a protein is produed.	11096	1	1
5	After leaving the neucleus, the mRNA carries the information to the amino acids for the sequence of proteins. then it goes through tRNA and then rRNA.	11110	0	0
5	tRNA, rRNA, gRNA	11113	0	0
5	1.eat2.digest3.take care of body4.respect your body	11143	0	0
5	After mRNA leaves the nucleus, respiration occurs. After respiration, transcription beings and in transcription mRNA is copied. Next, translation occurs and translation is the procces where mRNA is taken to the nucleus.	11144	0	0
5	transcriptiontranslation	11155	0	0
5	the mRNA gives directions to the protiens to tell them which codes.then they start connecting to the right match.they then break off until the stop code. then they make a strand that then becomes protien.	11166	0	1
5	breakdownintakeuseexcrete	11181	0	0
5	translation, transcription, Cellular respiration	11183	0	0
5	1 nucleus2 endoplasm3golgi body4 cell membrane	11184	0	0
5	Step one  the membrane og the synthesis past the cell up but the nucleus powers it. the microdria pushs everthing threw and for the amino acids sequence of the protein	11197	0	0
