QuestionId	AnswerId	Score1	Score2
5	10969	4	0
5	10976	4	1
5	10989	4	0
5	11019	4	0
5	11033	0	0
5	11044	4	0
5	11061	4	0
5	11062	4	0
5	11070	1	0
5	11072	4	0
5	11073	4	0
5	11096	4	1
5	11110	4	0
5	11113	4	0
5	11143	4	0
5	11144	1	0
5	11155	4	0
5	11166	4	1
5	11181	0	0
5	11183	4	0
5	11184	4	0
5	11197	4	0
5	11205	1	0
5	11213	4	0
5	11235	4	0
5	11244	4	0
5	11252	4	0
5	11259	4	0
5	11262	4	0
5	11298	4	1
5	11300	4	0
5	11302	4	0
5	11318	4	0
5	11337	4	0
5	11351	4	0
5	11369	4	0
5	11372	4	0
5	11378	4	0
5	11395	0	0
5	11413	4	0
5	11417	4	0
5	11426	0	0
5	11451	4	0
5	11461	1	0
5	11469	0	0
5	11471	4	0
5	11475	4	0
5	11481	4	0
5	11489	4	0
5	11495	4	0
5	11506	4	0
5	11525	4	1
5	11537	4	0
5	11546	4	0
5	11560	4	1
5	11569	4	0
5	11576	4	0
5	11583	4	0
5	11587	4	1
5	11597	4	0
5	11602	4	0
5	11603	4	0
5	11611	4	1
5	11614	4	0
5	11629	0	0
5	11637	4	0
5	11649	4	0
5	11656	1	0
5	11678	4	0
5	11681	4	0
5	11685	4	0
5	11688	4	0
5	11711	4	0
5	11714	4	0
5	11722	4	1
5	11729	4	0
5	11738	4	0
5	11741	4	3
5	11744	0	0
5	11757	4	2
5	11763	4	0
5	11766	1	1
5	11769	4	0
5	11795	4	0
5	11798	4	0
5	11816	4	0
5	11818	4	0
5	11834	1	0
5	11835	4	0
5	11847	4	0
5	11853	4	0
5	11857	4	0
5	11861	4	1
5	11864	4	0
5	11870	0	0
5	11886	4	0
5	11913	0	0
5	11920	4	0
5	11940	4	2
5	11947	0	0
5	11951	4	0
5	11955	4	0
5	11968	4	0
5	11978	4	1
5	11986	4	0
5	11995	0	0
5	12000	4	0
5	12001	0	0
5	12002	4	0
5	12005	4	0
5	12011	4	0
5	12023	4	1
5	12024	4	0
5	12027	4	0
5	12034	4	0
5	12038	4	0
5	12045	1	2
5	12053	4	0
5	12062	4	0
5	12085	4	1
5	12088	4	0
5	12094	4	0
5	12100	1	1
5	12108	4	0
5	12146	4	0
5	12148	4	1
5	12156	4	0
5	12157	4	0
5	12170	1	1
5	12190	4	1
5	12202	4	0
5	12203	4	0
5	12230	4	0
5	12233	4	0
5	12240	0	0
5	12258	1	2
5	12273	4	0
5	12287	1	1
5	12293	4	0
5	12319	4	0
5	12337	4	1
5	12342	4	0
5	12345	4	0
5	12352	4	0
5	12362	0	0
5	12370	4	0
5	12371	4	0
5	12383	4	0
5	12389	4	0
5	12395	4	0
5	12421	4	0
5	12422	4	0
5	12432	1	1
5	12444	4	0
5	12456	4	0
5	12458	0	0
5	12460	4	0
5	12476	4	1
5	12477	4	0
5	12478	4	0
5	12480	4	0
5	12492	0	0
5	12495	4	1
5	12504	1	0
5	12546	4	1
5	12550	4	0
5	12553	0	0
5	12554	4	0
5	12555	4	1
5	12557	4	0
5	12573	4	0
5	12574	4	0
5	12575	4	0
5	12581	0	0
5	12583	4	0
5	12591	4	0
5	12593	4	0
5	12607	4	0
5	12614	4	0
5	12616	4	0
5	12617	0	0
5	12629	4	0
5	12641	4	0
5	12655	0	1
5	12662	4	0
5	12682	1	1
5	12685	4	0
5	12689	4	0
5	12702	4	0
5	12727	0	0
5	12729	4	1
5	12746	4	0
5	12747	0	0
5	12748	4	0
5	12756	4	0
