QuestionId	AnswerId	Score1	Score2
5	10969	4	0
5	10976	4	1
5	10989	0	0
5	11019	4	0
5	11033	4	0
5	11044	4	0
5	11061	0	0
5	11062	4	0
5	11070	0	0
5	11072	4	0
5	11073	4	0
5	11096	0	1
5	11110	0	0
5	11113	2	0
5	11143	4	0
5	11144	0	0
5	11155	4	0
5	11166	0	1
5	11181	4	0
5	11183	4	0
5	11184	4	0
5	11197	3	0
5	11205	0	0
5	11213	0	0
5	11235	4	0
5	11244	4	0
5	11252	0	0
5	11259	2	0
5	11262	0	0
5	11298	2	1
5	11300	4	0
5	11302	4	0
5	11318	4	0
5	11337	0	0
5	11351	2	0
5	11369	0	0
5	11372	3	0
5	11378	2	0
5	11395	4	0
5	11413	0	0
5	11417	0	0
5	11426	4	0
5	11451	4	0
5	11461	0	0
5	11469	4	0
5	11471	4	0
5	11475	4	0
5	11481	2	0
5	11489	4	0
5	11495	0	0
5	11506	2	0
5	11525	0	1
5	11537	4	0
5	11546	0	0
5	11560	4	1
5	11569	2	0
5	11576	4	0
5	11583	2	0
5	11587	0	1
5	11597	2	0
5	11602	4	0
5	11603	4	0
5	11611	0	1
5	11614	2	0
5	11629	4	0
5	11637	2	0
5	11649	2	0
5	11656	0	0
5	11678	4	0
5	11681	4	0
5	11685	4	0
5	11688	4	0
5	11711	0	0
5	11714	4	0
5	11722	4	1
5	11729	2	0
5	11738	4	0
5	11741	0	3
5	11744	3	0
5	11757	0	2
5	11763	0	0
5	11766	0	1
5	11769	0	0
5	11795	4	0
5	11798	0	0
5	11816	0	0
5	11818	4	0
5	11834	0	0
5	11835	0	0
5	11847	4	0
5	11853	0	0
5	11857	4	0
5	11861	2	1
5	11864	2	0
5	11870	3	0
5	11886	2	0
5	11913	4	0
5	11920	2	0
5	11940	0	2
5	11947	4	0
5	11951	4	0
5	11955	0	0
5	11968	0	0
5	11978	0	1
5	11986	0	0
5	11995	4	0
5	12000	2	0
5	12001	4	0
5	12002	4	0
5	12005	4	0
5	12011	2	0
5	12023	0	1
5	12024	4	0
5	12027	4	0
5	12034	0	0
5	12038	4	0
5	12045	0	2
5	12053	2	0
5	12062	4	0
5	12085	0	1
5	12088	4	0
5	12094	0	0
5	12100	0	1
5	12108	0	0
5	12146	2	0
5	12148	0	1
5	12156	0	0
5	12157	2	0
5	12170	0	1
5	12190	0	1
5	12202	4	0
5	12203	4	0
5	12230	4	0
5	12233	2	0
5	12240	3	0
5	12258	0	2
5	12273	4	0
5	12287	0	1
5	12293	4	0
5	12319	2	0
5	12337	4	1
5	12342	4	0
5	12345	4	0
5	12352	0	0
5	12362	4	0
5	12370	3	0
5	12371	4	0
5	12383	2	0
5	12389	4	0
5	12395	3	0
5	12421	0	0
5	12422	4	0
5	12432	0	1
5	12444	4	0
5	12456	4	0
5	12458	4	0
5	12460	2	0
5	12476	0	1
5	12477	0	0
5	12478	2	0
5	12480	0	0
5	12492	3	0
5	12495	0	1
5	12504	0	0
5	12546	0	1
5	12550	4	0
5	12553	4	0
5	12554	4	0
5	12555	0	1
5	12557	4	0
5	12573	4	0
5	12574	4	0
5	12575	4	0
5	12581	4	0
5	12583	4	0
5	12591	4	0
5	12593	4	0
5	12607	4	0
5	12614	2	0
5	12616	2	0
5	12617	3	0
5	12629	2	0
5	12641	4	0
5	12655	4	1
5	12662	0	0
5	12682	0	1
5	12685	4	0
5	12689	0	0
5	12702	0	0
5	12727	3	0
5	12729	0	1
5	12746	2	0
5	12747	4	0
5	12748	4	0
5	12756	0	0
