QuestionId	Answer	AnswerId	Score1	Score2
5	1. The mRNA takes the copied information out into the cytoplasm.2. There tRNA brings in nucleotides to pair up with the mRNA inorder to make a copy of the DNA strand.3. An amino acid is then paired up with each set of three nucleotides.4. Once the process is completed it is used to make a protein.	10975	0	1
5	mRNA leaves the  nucleus. Then it enters the cytoplam, and proceeds to the ER.	10978	1	1
5	ribsomesnucleusanaphasemoonchadrion	10987	0	0
5	When the mRNA leaves the nucleus, it fits through the holes by virtue of being single-stranded. The mRNA floats around until it encounters a ribosome. The ribosome latches on to the mRNA with the larger portion nesting with and reading three nitrogenous bases, called a codon, at a time. The ribosome says in semi-stasis until a tRNA with the proper corresponding nitrogenous bases bumps into it. The tRNA is held by the ribosome until the second codon has been read, and a second tRNA is bonded to by the Ribosome. A peptide (dehydration synthesis) bond forms between the two amino acids, and the initial tRNA is 'cut loose' The ribosome then moves on down the mRNA creating the protein coded for. A strand of mRNA can be translated several times.	10992	3	3
5	The first major step involved in protein synthesis is mRNA leaving the nucleus. When the mRNA leaves the nucleus, it takes the amino acid sequence back to the protein which then results in the second major step which is passive transport. Passive transport brings proteins in and out of the cell. The third step is the when the mitocondria is making its way to help out the other cells with the protein synthesis. The last step is when the protein is making its way back to where is suppost to go, resulting in protein synthesis.	10999	0	0
5	First, a strand of mRNA leaves the nucleus out into the cell. Once outside, the mRNA arrives at the Ribosome. tRNA then arrives with an amino acid containing a nucleotide sequence called a codon. These codons are sequenced, and once the end of the sequence is reached, the protein synthesis ends until a new protein is needed.	11017	1	1
5	phosphateryboisamino acids	11039	0	0
5	prophase ,anaphase,telephase, metaphase	11058	0	0
5	well the organism is going to get sick but then get really healthy	11073	0	0
5	kingdom, species, genus, family.	11086	0	0
5	1. Protein spreads throughtout the body     2. The proteins aid the development.3. They supply the energy source4. Need to be reproduced to maintain the source.	11095	0	0
5	1) mRNA leaves the nucleus and goes to the free ribosomes.2) tRNA carrying the anticodon bonds to the mRNA codon in the ribosome.3) new amino acids are formed by the bonding of the codon and the anticodon. 4) the amino acids bind together into macromolecules called proteins.	11103	2	2
5	it moves on to oher placeto a nither nucleusbuild more mRNAstart new life	11116	0	0
5	Four major steps are the mRNA is taked from the necleus then it is taken where it is needed in the body the body uses it then it is taken away.	11125	0	0
5	THE mRNA LEAVES THE NUCLEUS. IT IS THEN TRANSLATED MEANING IT IS READ. THEN IT IS TRANSCRIPTED SO THAT IT CAN BE USED FOR WHATEVER IT IS NEEDED. THEN IT IS FINALLY TURNED INTO rRNA.	11127	0	0
5	its sent to the endoplasmic reticulum which sends it to the roughg version then to mitochondria then to ribosomes	11134	1	1
5	mRNA hooks up with tRNA	11180	1	0
5	tRNAmRNAgRNA	11203	0	0
5	DNA,RNA, TRANSLAION, tRNA,PROTEIN,	11230	0	0
5	The mrna turns in to rna which is the transfered to the nucleus. From there the rna turns in to dna as we know it.	11249	0	0
5	1.tRNA takes the message to the codons to form a new strand2.The new strand is made by the tRNA getting codes from the DNA3.The codons then are matched up and the new protein is one long strand4.It is then put in a chamber where it is folded to the shape it needs to be in to carry out its function	11258	0	0
5	It copies the mRNA and makes it tRNA which then it copies and makes another identical strand without using the letter T.	11264	0	0
5	The mRNA goes to the ribosomes then it sends signals up up to the anticodons. It then reads them and sends singnals down to the amino acids the then connect together with peptide bonds and form a protein molelcule.	11265	1	1
5	mRNA,rRNA,gRNa,and tRna	11267	0	0
5	they reproduce with photosithesis	11272	0	0
5	The mRNA goes through the gogli appartis. endoplasmic reticulum	11273	0	0
5	The first step involved with protien synthesis is activation. mRNA must activate the hormone that starts replication. The second step is the hormone Helicase dividing the two strands of DNA to be read. The third step is replication. DNA Polymerase replicates the DNA by matching the codons with the anti-codon, making RNA. The forth and final step is 're-zipping' the DNA strand into one, uninteruppted strand.	11282	0	0
5	1. The mRNA leaves the nucleus with the codon information.2. It takes it to the ribosome to make an anti-codon3. The anti-codon heads back to the nucleus to take the protien and amino acid that the dna needs.4. The tRNA anticodon conects with the codon	11296	1	1
5	anaphase, metaphase, telaphase, they keep repeating these steps plus one more step	11331	0	0
5	one process is cell divison which divids the cells up	11332	0	0
5	Protons, Nutrons, and Electrons	11336	0	0
5	they go to the lips	11356	0	0
5	eating the right foodsdrinking wateractivityexercising	11361	0	0
5	mRNA must travel to the ribosomes.Then it must turn information into a readable secquence so that the T cells can read it.	11367	1	1
5	The mRNA then travels to a ribosome and attaches to it. One of end of the mRNA goes into the ribosome and tRNA attaches the corresponding nucleotides to the end. Once the mRNA has been coded the corresponding RNA is then copied again to get the correct sequence. The newly made protein is then released from the ribosome.	11386	1	1
5	Coding to get it out of the cell, then translation to use it.	11393	0	0
5	cell mebrane	11395	0	0
5	mRna leaves the nucleus then goes out and produces things with in the cell then is used to help the body and finally new ones are produced.	11396	0	0
5	1. mRNA leaves the nucleus.2. It then travels throughout the body. 3. disperses  into your bodys systems. 4. Gets proteins to the body.	11399	0	0
5	mRNA leaves the nucleus, it then has to reproduce, it splits to make a copy, and then the mRNA has to synthesis further to make protein synthesis complete.	11408	0	0
5	telephase.metaphase.anaphase.	11421	0	0
5	mRNA leaves the nucleus.it makes a copy of itself.the copy then makes protein.and transcription occurs.	11427	0	0
5	mRNA leaves the nucleus.tRNA starts.gRNA starts.rRNA starts. ?	11439	0	0
5	The mRNA is carried off into different parts in the whole protein synthesis by going down to where it will get carried off to make protein.  Then is will be taken to where it can get energy.  After that it goes through a different phase and and the end it is carried to the end that makes protein.	11453	0	0
5	The mRNA leaves the cell and goes into the cytoplasm of the cell. Then, the codon and anti-codon pairs up. Then the anti-codon is released. Then onece it reaches a stop codon there is a chain of amino acids.	11455	1	1
5	The mRNA goes into the cytoplasm and experiences transcription, which is the pairing of bases according to the mRNA sequence. Then the full strand is split, and both strands go to the ribosomes to be translated. When the mRNA strands arrive there, translation will occur, which means that tRNA will bring amino acids that code for a particular segment of the mRNA, will attach together. A certain number of the amino acids will then code for a proteins.	11466	2	2
5	the protein drops the amino acid which conect to the other amino acids to make a chain while the RNA moves over and conects with the Other piece of RNA	11469	0	0
5	trna,mitosis,meiosis,anaphase.	11470	0	0
5	They create more cells for the body when the cells get too big they break down into smallar size and keep on growing.	11475	0	0
5	It then goes to the RNA strand and sends the message.Then it leaves there and goes to the tRNA and sends the message, which then the tRNA starts to make amino acids.The amino acids then connect to make a peptide bond.Then it starts over agian.	11480	1	1
5	First, the mRNA move through the cytoplasma to the ribosome. Then the tRNA take over by making another side.Then the tRNA take it to the ribosome to get cut by restiction enzymes. Then those peices get turned into pieces of protien.	11505	1	1
5	Mrna connects to the ribosomeCodons read the letters then retrieve the correct amino acidThe amino acids are connnected to the mrna and taken into the ribosomeIn the ribosome the amino acids are used to make a protien	11515	1	1
5	After mRNA leaves the nucleus, it travels through the cell into the cytoplasm. Then the codon comes and so do the amino acids. Next the mRNA carries the instructions for the new sequence and codes for new DNA.	11522	0	0
5	mRNA changes in to rRNA and goes out in the rest of the cell	11539	0	0
5	mRNA leavign the nucleaus, the mRNA attaches to the new protein, then matches up the complemetary codons.	11542	1	1
5	The mRNA must leave the nucleus and travel through the cytoplasm. The mRNA must then converge with the different protein bases. The proteins mix in the the mRNA to create a strand. The protein synthesis is made when the strand reaches the normal DNA.	11544	0	0
5	mRNA splits up and meets with the Nuclaic Acid. Then it is combined with Phosphate to create a protein.	11561	0	0
5	translation, deletion, translocation, transformation	11563	0	0
5	DNA separates and an RNA strand is paired with DNA strandThe RNA is taken to the ribosomeThe RNA is then changed to mRNAThen the mRNA is tranlated into tRNAand then you have a strand of RNA	11568	1	0
5	they send messages out of the cell.	11574	0	0
5	The mRNA carries the instructions from the nucleus to the outside of the cell, then to the tRNA, the tRNA carries the instructions to the proteins for synthesis.	11578	0	0
5	Telephase, Anaphase, and Metaphase	11583	0	0
5	mRNA has to leave the nucleus, then it transfers information to tRNA. After it does that it makes copies, then lastly sends it back to mRNA.	11586	0	0
5	AnaphaseInterphaseMetaphaseprophase	11602	0	0
5	1. water2. sun	11605	0	0
5	1. mRNA leaves the nucleus2. mRNA travels to the ER3. tRNA gives mRNA information 4. mRNA replicates into an exact clone of the existing DNA	11638	1	1
5	Step 1: mRNA leaves the nucleus.Step 2: mRNA carries instructions for amino acid sequence.Step 3: mRNA delivers the sequence instructions to codon.Step 4: mRNA goes back to the cell it came from.	11658	0	1
5	tRNA, rRNA, gRNA, mRNA.	11662	0	0
5	mRNA, tRNA, gRNA, rRNA	11672	0	0
5	the mRNA is taken to the cytoplasmthe tRNA helps to create the new protien	11678	0	0
5	meosis,mitosis,antaphase,telophase	11706	0	0
5	-RNA, IT HAPPENS-DNA, IT REALLY HAPPENS-rRNA, THIS DOESN'T HAPPEN-mRNA, I REALLY HOPE THAT THIS HAPPENS	11728	0	0
5	After leaving the nucleus, mRNA goes to the ribosomes and turns into tRNA. Once it becomes tRNA, it makes codons or becomes anticodons. Once it becomes codons, it makes amino acids.	11735	1	1
5	1. The mRNA takes the coded DNA to tRNA2. The tRNA takes the coded DNA and translates it to amino acids.3. The rRNA copies the amino acids4. They are placed as traits.	11742	0	0
5	after mRNA it will go to tRNA and then i will coil so much to where it becomes DNA	11758	0	0
5	mRNA leaves the nucleus. then passes on the information needed to make proteins. the cells gather and conect the parts needed to make the protein. the last step is finished to form and pass on the protein.	11765	0	0
5	all T's are tuned int U's. the mRNA is translated into codons. codons ar turned into ameno acids. ameno acids are turned into a proteins	11776	1	1
5	mRNA must first translate the amino acid into a 'language' that can be read then the mRNA has to transcribe the amino acid so that it can be used.	11778	0	0
5	After mRNA leaves the nucleus, transcription and translation occur. Transcription is the copying of the strand and translation is moving the sequences for the strand. There is also replication which makes an exact replicate of the DNA strand.	11796	0	0
5	The mRNA leaves the nucleus, and is then synthesized into tRNA, which carries the code for making proteins. The tRNA is transcribed into rRNA which can then be used by the body to synthesize proteins.	11808	0	0
5	tRNAgRNAmRNArRNA	11811	0	0
5	The tRNA transfers data.	11817	0	0
5	When the mRNA leaves the nucleus, 1. it goes to the endoplasmic reticulum where protein synthesis begins.  2. Ribosomes then move in to begin the process of synthesis where anticodons are moved on to the correct codons transferring the correct amino acid code that is to be made. 3. the amino acid is made and attached to all other amino acids beside it with Peptide bonds. 4. A stop codon tells the amino acids to stop and the previous amino acid becomes the last in the chain, making a complete protein.	11819	3	3
5	Prtein synthesis takes place after leaving the nucleus. The four major steps are movement, reproduction, growth and  new rna.	11821	0	0
5	MRNA as a polymer is involved in protein synthesis. THey are making the proteins snythesis with each other.Step 1: To arrive where the proteins are2: brake the proteins up3: conncet proteins again with Rna 4: the process is complete	11822	0	0
5	first the DNA turns into mRNA then the mRNA is turned into RNA through the process of transcription.then the RNA leaves the nucleus and goes through a process of translation.then signals for the tRNA.Then the tRNA makes the proteins.	11826	0	0
5	mRNA sends the message to the ribosome so the ribosome knows what codons to make for the proteins so the right proteins are made.  The proteins are then sent to the areas of the body that they are needed in.	11833	0	0
5	The mRNA brings the information to the tRNA. The tRNA transports the codons to the mitochondrion. The mitochondrion synthesizes the proteins, and the tRNA transports the proteins to where they need to go.	11834	0	0
5	tRNA, is the transporterRNA,DNA, the structure of an organismmRNA,	11843	0	0
5	The mRNA leaves the nucleus and transcribes the DNA codes to the tRNA. Then the tRNA turns these codes into RNA codes. From there the rRNA makes doubles of all of the new information.	11853	0	0
5	1. mRNA leaves the nucleus carry the message from the cell membrane.2. rRNAcarries the ribosome to the codon3. tRNA transfers the segment needed to be traslated.4. the Condon strand is translated.	11869	0	1
5	anaphaseinterphasemetaphasetelephase	11885	0	0
5	1. The protiens move move.2. It starts going throught many different sages.3 It prepares for itself to double.  4. The protien is doubled.	11887	0	0
5	When mRNA, also known as the messanger RNA, leaves the nucleous and attaches onto an rRNA, ribosome, the rRNA matches the mRNA to a tRNA.  The ribosome takes three mRNA at a time and docks them untill the tRNA comes with the match and each match has a code.  The code AUG means to start that way the body knows when to start protein synthesis.	11903	2	2
5	rRNA, tRNA, gRNA, & tRNA	11917	0	0
5	meiosis seperating of the cellmetaphase the cell combinesprophase the brakes and develops into two.interphase the cell gets back in two and starts the process over again.	11918	0	0
5	1. mRNA leaves the nucleus2. Two nuclei come together3. Then they go apart4. Finally they become more powerful	11923	0	0
5	First the proteins go through a check process, then the cell membrane fixes anything that is wrong, then the nucleotides make bind to the mRNA, and finally the mRNA and the protein bind together.	11924	0	0
5	mRNA, then it a messanger to the DNA then to defusion.	11947	0	0
5	mRNA gives a message to tRNA that has what amino acids the DNA strand has. The tRNA brings the RNA to the DNA sequence and the RNA lines up with the amino acids. These make up proteins.	11988	0	0
5	Translation- mRNA is translated into codonsTranscription- Codons code for amino acidsAmino acids are hooked together to create a chainThe chain creates a protein	11989	1	1
5	Prophase, Anaphase, Telophase, Meiosis	11990	0	0
5	The four major steps involved in protein sylnthesis is the mRNA leaves the nucleus then it goes and gets the message decoded. After that then the body sends out the proper proteins. Lastly the proper proteins are sent and the process is started all over again.	11991	1	1
5	proteins have to move through out the organism for cells and functions to work right.	11993	0	0
5	rRna-ressesive mRNA-messengertRNA-transfer	11997	0	0
5	tRNA which transfers protein from point A to point B	12002	0	0
5	The first step in the  four major steps that involve in protein synthesis is the mRNA goes from the nucleus to the cell membrain; then the mRNA goes to the cell nucleus, and then the mRNA goes to the cell nucleolus. And last the cell goes to the cell nucleotide. Those are the four major steps in protein syntheses.	12037	0	0
5	mRNA changes to amino acids the amino acids sends themselves to tRNa	12038	0	0
5	The mRNA goes somewhere else where it can copy to make DNA.	12040	0	0
5	sugars	12044	0	0
5	The first step is the replication. In order to do that the mRNA takes the information and gets it transfered. Tha is when the tRNA is used. After it is replicated the extra that was not needed is gotten rid of.	12052	0	0
5	find food to live off offind a new matedrink waterreproduce	12063	0	0
5	prophasemetaphaseantaphasetelaphase	12080	0	0
5	After leaving the nucleus, the mRNA has to carefully make it's way to the site of the tRNA. The next step is translation. This step invloves the tRNA to translate the DNA sequence on the mRNA. The third step is the tRNA making it's way to the ribosomes. This step is very important because this step is the step which almost finishes protein synthesis. The last step is when the ribosomes do what the sequence of the DNA says to do.	12095	1	1
5	tRNA-transportig it through ribosome.rRNA- helping it through. Making protiens and transporting them away.	12102	0	0
5	1. The mRNA unwinds and reveals inner chains.2. New proteins are added and transcription takes place.3. The proteins are reversed of their old proteins (Thymine is now Adine)4.  The mRNA is fixed and winds back up to become a new protein.	12105	0	0
5	tRNA then attaches to the mRNA, matching its bases to those of the mRNA.  The segments formed by the mRNA are called codons.  These codons code for specific amino acids.  The amino acids form a chain on the tRNA, forming a protein.	12115	2	2
5	1.  The mRNA leaves the nucleus because the DNA is to big to fit through the nucleaus pores.2.  The mRNA then separates from the DNA side.3.  A new strand of DNA fills in on the old DNA side.4. A new complete strand of DNA is formed	12118	1	1
5	Umm...Copy the strand of RNA .Use bonds the connect the corrasponding nucleotides together.(no clue!)The process starts all over again.	12120	0	0
5	The first step is DNA spliting into two, single strand RNA.  The next step is the RNA leaving the nucleus.  Third, it must find a copy of another RNA to link it with the other.  Finally, the codons are linked and you have a protein.	12121	0	0
5	Translation is where protein language is translated into amino acid language so they can understand it to make new proteins. Transcription is where they are taken from one place to another for protein synthesis. RNA has to fit into holes where DNA cannot to make protein synthesis. The last way is when DNA is made into RNA with mRNA to make new proteins. When it is made into RNA, that is making new proteins.	12122	0	0
5	1-the mRNA travels to a ribosome 2-The codons on the mRNA signal for an amino acid3-Translation-tRNA match up an amino acid to each codon on the mRNA starting with the start codon4-termination-the amino acids are matched up with the codons on the mRNA until the stop codon is reached, which signals the end of translation	12123	3	3
5	The RNA leaves the nucleus and then it goes into the cell membrane. When it is there it then startes to break down and turn into protein. When it is done there the protein then goes throughout the entire cell.	12127	0	0
5	mRNA goes to the DNA and makes a copy of the DNA. The mRNA then gives the information to the tRNA which delivers the information to the rRNA. The rRNA then makes the protiens in the ribose of the cell creating new protien.	12158	0	0
5	Metaphase, prophase, telophase, and anaphase.	12162	0	0
5	AnaphaseInterphaseProphaseTelophase	12174	0	0
5	In transcription the mRna is changed into protiens	12180	0	0
5	1 anticodon goup matching a codon group attaches 2 the anticodon takes in the information for its purpose3 the anticodon forms the protein5 the protein is made into a chain	12185	1	1
5	THROUGH PHOTOSYNTHESIS	12211	0	0
5	when the mRNA leaves the nucleus it goes to to other cells in the organism and does what it had to to in the nucleus	12212	0	0
5	First, DNA responsible for this unzip, and nitrogen bases pair up with the DNA bases. The mRNA takes this section to tRNA to form codons that can be used in protein synthesis. The codons are matched up with anticodons at ribosomes, and amino acids are made from these. When the amino acids are completed and form the right chain, they are traken and used for their needed purpose.	12228	1	1
5	mRNA gives the information to the tRNA who translates it and shows it to the rRNA, who builds the protein.	12229	1	1
5	prophoes metephase annphase ans tellphase	12255	0	0
5	tRNA matches its anticodons with mRNA codons. tRNA gets the corresponding amino acid. Then brings the acid back to the corresponding mRNA.	12256	1	1
5	1. mRNA attatchs itself to a ribosome 2. mRNA discloses the genetic information to the ribosome3. The corresponding nucleotides are put together with the information4. The new chain becomes the new protein	12257	1	1
5	It sends messages to the brain.mRNA tells the body to react to anything important.Help maintain the cells.	12265	0	0
5	- it has to be broken down to make the protein sythesis	12266	0	0
5	1.It has to change then enitre thing.2.3.4.	12313	0	0
5	The mRNA copies the DNA, then it seperates, and an amino acid goes through. The last step is that it comes back together.	12320	0	0
5	1. The mRNA attaches to a DNA sequence 2. That DNA sequence seperates3. Codons attach to the two new DNA strands and match them identical4. The two new strands are checked over to insure there were no wrongly placed codons	12339	0	0
5	It protects, strengthens, distributes, and stores proteins to make them more effective and last longer.	12345	0	0
5	mRNA attatches to a ribosome then the ribosome makes the protein its told to make. After that the protien is sent to the Rough E.R. then after that it is altered a little bit and sent out to the Golgi Apparatus. Then the Golgi Apparatussends the protien to where it has to go and then the protien starts doing its job.	12347	1	1
5	os it the answer  is DNA	12355	0	0
5	sends messages to the brain.gives out informationtells cells what to dodelivers to its destination	12368	0	0
5	1. Replication2. 3.4.	12379	0	0
5	goes from one to the other, travels through the body, comes back, and does it all over again	12381	0	0
5	distributionreproduction messaging	12382	0	0
5	mRNA leaves the nuclease and finds a protein. Then tRNA makes a copy of the mRna and sends it out into the cell.	12393	0	0
5	The first major step is intersphase which get the body started.  Then there is metaphase which brings in the nurtients.  Next is anaphase which seperates the nutrients.  Lastly theres propshase which uses up all the proteins and completes the process.	12398	0	0
5	to travledblad streemto get to dna	12400	0	0
5	1: The mRNA send information to the rRNA to tell it to make amino acids.2: The rRNA makes the amino acids.3: The amino acids are then made into RNA by tRNA4: Then the DNA and RNA com together.	12405	0	0
5	Antaphaseinterphasemetaphaseprophase	12407	0	0
5	Protein Synthesis:1) The proteins find a mate.2) The proteins reproduce to make more proteins.3) Then the proteins spread out.4) And make more.	12415	0	0
5	4 major steps are	12430	0	0
5	One step is when the mRNA goes out of the nucleus. Another step is the mRNA travels through ribosomes. The next step is the mRNA gets its second strand. The final step is the mRNA is now a complete chromosome	12432	1	1
5	STEP 1 :   THE FIRST STEP IS THE BODIE GOES DIFFUSION THEN THE BODIE GETS RID OF THE EXTRA STRAND THEN I NEW STRAND UNZIPS THEN TURNS INTO A GOLDGI BODIE	12438	0	0
5	One would be ER that attach to ribsomes which produce proteins and proteins help your body.	12440	0	0
5	the mitochondria absorbs the sun light to create food. the food(lysosomes) is sent to the endoplasmic reticuilum to create the protiens then the waste from the endoplasmic reticulum is sent to the golgi apparatus to get wasted.	12470	0	0
5	The mRNA leaves the nucleus, then the mRNA goes to the ribosomes.  The mRNA is then translated into DNA.  The DNA makes a strand of proteins.	12472	1	1
5	the mRNA moves across th cytoplasm.then it gets the the cytoplasm were it reads the mRNA to make a copy of itthe copy is make to tRNA to make amino acid.then the ribosome makes the amino acid to make protein	12494	1	0
5	mRNA is the meesanger RNA. It carries the information out of the cell to the ribosome. Which then takes that information to the protien. Then once it gets to the protien, the protiens starts to go through protien synthesis.	12513	1	1
5	1. The mRNA leaves the nucleus to begin protein synthesis.2. The mRNA then is transferred using tRNA.3. The mRNA is attached.4. The mRNA is coded for a protein.	12519	0	0
